Arquivo PDF;Candidatura/Partido;Visão Geral;Saúde;Educação;Segurança;Mobilidade e Transportes
2026BR280002538811_01.pdf;Samara Martins / UP (Unidade Popular);Construção do socialismo, fim da exploração capitalista, governo dos trabalhadores, redução da jornada para 30h semanais e fim da escala 6x1, aumento de 100% do salário mínimo, auditoria da dívida.;SUS 100% estatal e público, fim da exploração dos planos de saúde privados, soberania farmacêutica com produção nacional de remédios, valorização dos trabalhadores da saúde.;Educação pública e gratuita em todos os níveis, fim do lucro na educação, livre acesso sem vestibular, revogação do Novo Ensino Médio, erradicação do analfabetismo.;Desmilitarização das polícias, fim da lógica de guerra nas periferias e da 'guerra às drogas', controle popular da segurança e foco em prevenção e inteligência.;Estatização dos meios de transporte coletivo, passe livre irrestrito para estudantes e desempregados, plano nacional de malha ferroviária e tarifa zero.
2026BR280002539826_01.pdf;Romeu Zema / NOVO;Ajuste fiscal severo ('Plano Implacável'), redução e modernização do Estado, corte de privilégios políticos, atração de investimentos privados, desburocratização e privatização de estatais.;Saúde digital com prontuário eletrônico unificado, parcerias com o setor privado (clínicas e hospitais) para reduzir filas, telemedicina e ampliação do atendimento básico preventivo.;Foco na aprendizagem básica, ensino técnico voltado às demandas do mercado, parcerias público-privadas em creches, vouchers educacionais, seleção técnica de diretores e foco em áreas STEM no ensino superior.;Enquadramento de facções como terroristas, presídios de segurança máxima em regiões isoladas, fim das saídas temporárias, redução da maioridade penal para 16 anos e ação integrada de inteligência.;Concessões e PPPs para ativos de infraestrutura, revisão de marcos regulatórios para atrair capital privado, modernização do sistema portuário e expansão da malha ferroviária.
2026BR280002540694_01.pdf;Renan Santos / Partido Missão;Reforma e refundação institucional do Brasil ('Estado Novo'), remédio amargo fiscal, fim do assistencialismo sem porta de saída, projeto de desfavelização e desenvolvimento de alta tecnologia.;Projeto 'SUS Fila Zero', fila de atendimento baseada em risco clínico (ENER) em vez de ordem cronológica, integração massiva de inteligência artificial e criação do Prontuário Eletrônico Nacional (PRONTO).;Adoção do método fônico para alfabetização, restauração da autoridade e disciplina nas escolas (escolas cívico-militares), bolsas universitárias por mérito em vez de cotas, foco em exatas (STEM).;Adoção do Direito Penal do Inimigo contra facções, decretação de 'Guerra ao Crime', confisco de bens de criminosos, superpresídios (modelo CECOT) isolados da sociedade.;Projeto 'Missão Rondon', focando em grandes obras de infraestrutura com atração de investimento privado, meta de malha ferroviária de 40 a 50 mil km e portos eficientes para escoamento.
2026BR280002541457_01.pdf;Hertz Dias / PSTU;Ruptura com o sistema capitalista e com o imperialismo, governo dos trabalhadores, não pagamento da dívida pública, expropriação de bilionários, fim da escala 6x1 e redução da jornada de trabalho para 36h.;Defesa de um SUS 100% estatal e universal, fim das terceirizações, PPPs e OSs na saúde, estatização do sistema privado e produção pública de medicamentos e insumos.;Estatização completa do ensino privado, educação 100% pública e gratuita em todos os níveis, fim do vestibular e revogação das reformas curriculares neoliberais.;Desmilitarização das polícias e criação de uma instituição civil unificada sob controle dos trabalhadores, fim da guerra às drogas, descriminalização, fim da violência estatal e desencarceramento em massa.;Estatização de todo o sistema de transporte coletivo, revogação das privatizações de rodovias, ferrovias e metrôs, e implementação de tarifa zero para os passageiros.
2026BR280002542548_01.pdf;Luiz Inácio Lula da Silva / Coligação (PT, PSB, PV, PCdoB, PDT, PSOL, Rede);Reconstrução do Estado com foco na democracia, combate às desigualdades, responsabilidade socioambiental, neoindustrialização, inserção internacional soberana e transição ecológica justa.;Fortalecimento da Atenção Básica, redução das filas de especialistas com telessaúde, integração e digitalização de dados do SUS, expansão do Farmácia Popular e incentivo ao Complexo Econômico-Industrial da Saúde.;Ampliação de escolas em tempo integral e creches, investimento em IFs e universidades federais, manutenção do programa Pé-de-Meia para combater evasão, alfabetização na idade certa e conectividade escolar.;Criação do Ministério da Segurança Pública, fortalecimento do SUSP, foco na asfixia financeira do crime organizado, cooperação federativa, controle de armas e fortalecimento da proteção a mulheres e minorias.;Investimentos massivos pelo Novo PAC, foco em infraestrutura de média e alta capacidade (metrôs, trens e BRTs), eletrificação da frota de ônibus e expansão de corredores logísticos.
2026BR280002548139_01.pdf;Wilson Grassi / Partido Democrata;Prioridade para um Estado digital e desburocratizado, reforma tributária com Imposto Único Federal (IUF), corte de gastos (Tesouraço), respeito à propriedade privada e liberdade econômica.;Conceito de 'Saúde Única' (humana, animal e ambiental). Foco na prevenção, fila cirúrgica unificada e transparente, parceria com a rede privada em horários ociosos, telemedicina e entrega de remédios em domicílio.;Alfabetização na idade certa, ensino médio técnico focado em empregabilidade, 'PEC da Pesquisa' para transformar bolsistas em servidores, e foco em métricas transparentes de aprendizagem.;Guerra ao crime organizado e facções, isolamento de chefões em presídios de segurança máxima, asfixia financeira, blindagem de fronteiras e portos, e criação de cadastro nacional de infratores.;Programa 'Brasil nos Trilhos', forte investimento em ferrovias e hidrovias com foco na redução do custo logístico e atração de capital privado.
2026BR280002551544_01.pdf;Flávio Bolsonaro / PL;Programa focado no livre mercado, valores conservadores ('Deus, pátria, família e liberdade'), redução drástica de impostos, privatizações, segurança jurídica e enfrentamento rigoroso ao crime organizado.;Integração do SUS com a rede privada para zerar filas, uso de inteligência artificial e telemedicina, prontuário eletrônico unificado e ampliação do atendimento preventivo.;Escola sem doutrinação política, ampliação das escolas cívico-militares, uso do método fônico na alfabetização, vouchers educacionais para creches e escolas da rede privada, foco em cursos técnicos.;Política de 'Tolerância Zero', redução da maioridade penal para 16 anos, construção de presídios padrão CECOT (El Salvador), endurecimento contra facções terroristas e aumento das penas para crimes hediondos e roubos de celulares.;Atração intensa da iniciativa privada (concessões e PPPs) para rodovias, ferrovias e portos, foco na redução do custo logístico do agronegócio e estímulo a transportes eficientes nas cidades.
2026BR280002551547_01.pdf;Augusto Cury / Partido Avante;Foco na 'Cultura da Paz' para superar a polarização, gestão da emoção, projeto de 10 milhões de microempreendedores, responsabilidade fiscal com sensibilidade social, e Estado eficiente e digital.;"Projeto 'Tele Saúde Brasil' para transformar o país na maior plataforma de medicina digital do mundo, desafogando o SUS; forte investimento em saúde mental e prevenção (projeto SEA para detecção do câncer).";"Implementação de metodologias de gestão da emoção e empreendedorismo; escolas como 'clubes de desenvolvimento humano'; professores não apenas expositores, mas provocadores do pensamento.";"Projeto FATO (Força Alerta Total), integração de forças federais, estaduais e municipais com tecnologia 4.0; criação de uma Guarda Municipal com treinamento psicológico e policiamento preventivo.";Programa 'BEE' (Brasil Empreendedor nas Estradas), focado na duplicação de rodovias e instalação de polos de microempreendedorismo e serviços locais para impulsionar a economia regional.
2026BR280002551932_01.pdf;Ronaldo Caiado / PSD;"Gestão orientada a resultados e governabilidade; estabilização fiscal sem novos impostos; fim da reeleição no Executivo; Estado profissional; e crescimento econômico calcado em parcerias privadas.";"Fila dinâmica por prioridade clínica; integração de hospitais regionais, telessaúde e prontuário digital (Interoperabilidade); e foco forte na Atenção Primária para prevenção de agravos.";"Pacto nacional pela alfabetização na idade certa; expansão consistente da educação técnica; melhoria na formação docente; metas claras de aprendizagem e segurança escolar; modernização das universidades.";"Liderança federal incisiva no combate às facções; regime de isolamento penal rígido (REDAD); criação do Ministério da Segurança Pública; asfixia financeira do crime organizado e blindagem tecnológica das fronteiras.";"Política Nacional de Financiamento do transporte coletivo; estímulo a concessões com marcos regulatórios estáveis; universalização do saneamento; renovação de frotas com baixa emissão e integração de modais de carga."
2026BR280002551975_01.pdf;Edmilson Costa / PCB;Criação do Poder Popular, revolução anticapitalista e anti-imperialista, revogação do arcabouço fiscal e de todas as reformas neoliberais, auditoria e suspensão do pagamento da dívida pública, jornada de 30 horas semanais.;"Estatização completa de todo o sistema de saúde, incluindo hospitais privados e laboratórios; fim das OSs; investimento maciço em saúde 100% pública e gratuita voltada à classe trabalhadora.";Ensino 100% público, gratuito e estatal das creches à pós-graduação, estatização das instituições privadas, extinção do vestibular e acesso universal via cotas e conselhos populares.;"Desmilitarização das forças armadas e de segurança pública; controle social exercido por conselhos populares; descriminalização das drogas e foco em direitos sociais em vez de aparato repressivo.";"Transporte público gerido por conselhos populares com tarifa zero; reestatização de estradas, ferrovias, aeroportos e portos, garantindo mobilidade livre para toda a população."
