Arquivo_PDF;Candidatura/Partido;Visão_Geral;Saúde;Educação;Segurança;Mobilidade_e_Transportes
2026DF70002535930_01.pdf;Candidatura Socialista;Projeto focado na estatização, fim das privatizações e auditoria popular do BRB. Crítica à política neoliberal e à frente ampla.;Fim do IGESDF, saúde 100% pública e estatal. Realização de concursos públicos, fim das terceirizações e da violência obstétrica.;Fim da militarização das escolas, garantia de pelo menos 30% do orçamento do DF para educação e salário digno para professores.;Desmilitarização da PM, fim da guerra às drogas e criação de divisão policial para proteção de mulheres ameaçadas.;Estatização total das empresas de ônibus e metrô, adoção de Tarifa Zero e revogação da privatização da Rodoviária.
2026DF70002537111_01.pdf;Samara Mineiro / Unidade Popular (UP);Programa popular e socialista. Prega o controle estatal do sistema financeiro, auditoria do BRB e fim das privatizações.;Fim do IGESDF e da Tabela SUS Candanga. Concursos públicos massivos e criação do Laboratório Farmacêutico Público.;Extinção das escolas cívico-militares, ampliação de vagas em creches e política distrital de auxílio-permanência estudantil.;Desmilitarização da polícia, implementação de câmeras nos uniformes e reforma prisional para centros de ressocialização.;Criação de empresa pública de transporte com tarifa zero gradual e fortalecimento do metrô.
2026DF70002547775_01.pdf;Kiko Caputo / NOVO 30;Defende um Estado Responsivo, Integrado e Inteligente, organizado em torno das jornadas de vida e vocações dos territórios.;Integração do cuidado primário à média e alta complexidade, uso de telemedicina e regulação transparente de filas.;Aprendizagem orientada por dados, formação técnica para as demandas do futuro e criação do Passaporte de Talentos.;Prevenção aliada ao uso de inteligência, câmeras, tecnologia de proteção e fortalecimento da convivência nos espaços públicos.;Integração do transporte coletivo, bilhetagem única e foco em acessibilidade e corredores regionais.
2026DF70002551298_01.pdf;Elisson Ferreira / AGIR;Foca na transparência, responsabilidade fiscal e planejamento focado no centenário da capital (Brasília 2060).;Auditoria no IGESDF com imposição de metas, Saúde 100% Digital com prontuário unificado e filas públicas rastreáveis.;Criação de 8 mil novas vagas em creches por sistema misto e foco no ensino voltado à tecnologia.;Comando Integrado de Segurança, expansão do videomonitoramento (Cerco Inteligente) e policiamento comunitário.;Redução progressiva das passagens de ônibus, expansão do Metrô para Samambaia, Ceilândia e Asa Norte.
2026DF70002551557_01.pdf;Ricardo Cappelli / PSB;Redução das desigualdades via desenvolvimento regional com responsabilidade fiscal e criação do Banco do Povo.;Programa Fila Zero com telessaúde, mutirões e retomada do comando do IGES-DF pela Secretaria de Saúde.;Proposta do maior salário do país para professores, Fila Zero na creche e ampliação da educação em tempo integral.;Tolerância Zero com o crime organizado, uso de inteligência financeira e fortalecimento da prevenção primária.;Expansão de BRT (Expresso Norte) e Metrô, unificação da rede e implementação progressiva de Tarifa Zero.
2026DF70002552341_01.pdf;Partido da Causa Operária (PCO);Propõe um governo operário, expropriação de latifúndios, cancelamento de privatizações e revogação das reformas trabalhista e previdenciária.;Fim da saúde mercantilizada, adoção de um sistema 100% público controlado por trabalhadores e piso de R$ 8 mil para o setor.;Fim dos vestibulares, ensino público e estatal irrestrito e fixação de piso de R$ 8,5 mil para professores.;Dissolução da polícia militar e dos aparatos repressivos em prol da formação de comitês de autodefesa operária.;Passe livre assegurado para desempregados e informais e redução de 50% nos preços dos combustíveis.
2026DF70002552496_01.pdf;Leandro Grass / Federação Brasil da Esperança (PT, PV, PCdoB, PSOL, REDE, PDT);Administração participativa (Conselhos Comunitários e Decide DF), redução do custo de vida e resgate do BRB.;Programa Saúde Sem Espera (consultas em até 30 dias) e cobertura completa de Atenção Primária.;Fila Zero em creches, ampliação massiva da Escola de Tempo Integral e bolsa-formação para jovens.;Programa DF Sem Medo, focado em inteligência, monitoramento ativo e combate sistemático ao feminicídio.;Integração metropolitana, programa 'Até 1 Hora', Tarifa Zero gradual e extensão das linhas de Metrô, VLT e BRT.
2026DF70002552586_01.pdf;José Roberto Arruda / Coligação Resgatar Brasília;Gestão baseada em Valor (GBV), atração global de investimentos e uso da Inteligência Artificial como infraestrutura pública.;Saúde Digital focada em previsibilidade e Centro Distrital de Cirurgias Eletivas.;Sistema de 'vouchers' educacionais, integração com setor privado e programa 'Acelera Exatas' auxiliado por IA.;Quadrantes territoriais, Muralha Tecnológica nas prisões e incorporação de bodycams e drones.;Megaexpansão ferroviária: Metrô Linhas 1 e 2, VLT, BRT Norte e Leste e Anel Rodoviário Metropolitano.
2026DF70002552965_01.pdf;Paula Belmonte / PSDB;Gestão com foco nas pessoas, ampla desburocratização, digitalização dos serviços e criação de Gabinete contra a Corrupção.;Integração sistêmica entre Atenção Básica e hospitais, auditoria do IGES-DF e criação do Hospital do Idoso.;Ampliação estrutural das escolas de tempo integral e política focada no ensino técnico para juventude.;Integração das forças (incluindo o Entorno de Goiás), uso intensivo da Muralha Digital e foco na prevenção.;Auditoria de concessões rodoviárias, integração do Metrô e fortalecimento do cuidado com a jornada dos pedestres.
2026DF70002553055_01.pdf;Celina Leão / Governadora do Distrito Federal;Governo de continuidade e proximidade focado na transformação digital, proteção social, e infraestrutura do Entorno.;Programa Opera-DF, telessaúde do IntegraSaúde e construção de sete novas UPAs e hospitais de grande porte.;Programa 'Primeiras Letras', expansão do modelo Cívico-Militar, distribuição de tablets e bolsa para universitários.;Programa DF 360 e fortalecimento da infraestrutura pericial e policial, além de forte repreensão ao crime patrimonial.;Programa DF nos Trilhos (expansão do Metrô), Tarifa Zero para baixa renda e fomento ao desenvolvimento metropolitano.
